gorowe-e nulgichewun	долго аргишили
tug oronmi irgidefki-to oronmi irgiwdon koroppan menat nado hirulwe menattengat	так оленя воспитывают чтобы оленя воспитывать важенок менять надо быков менять будем
i icherew tadu aminmun ororin uchakilin tegetchere	и увидели там олени учаки нашего отца лежат 
kungakan tarin luhu baldydana hanguktawki	ребенок этот все время пока рос спрашивал
girkundakal idu-de guse	гуляй повсюду сказал
tala nawernoje birke	там  наверное был
umukonme mangiwa ahadere nungun binel ahiwa mangiwa	одного медведя гонят вшестером медведицу
mortyn isette hoktewer	сами смотрели дорогу свою
taduk direktorif toli bison aleksej dmitrijewich jeldogir girkiw minngi	потом директором тогда был алексей дмитриевич елдыгир мой друг
bagdakele ichetnehinem	поехал диких смотреть
hutelin tadu bidewkil	его дети там были
nadaldawe nulgichowun kun   tala	семь дней аргишили потом
tukkor ojoline er aramakan nekelingnem	вот так потихоньку я начинаю обычно делать почесывая
angiwe mowe tare bi   mine nodaren	эту палку меня швырнул
no wso rawno upkat uzhe pochti luchadyt upkat hengketchepkil	но все равно уже все почти по-русски говорят
shura nu	шура да
tawartyki tar istoktuli tawar istoktu bi hine nanchitchichaw aha	в ту сторону к тому истоку там на истоке я тебя нянчила ага
tari tar tadu du̅tarawun inerewun	вот там пожили в чуме побыли
ebej beje ekel ngelifse bidegin	ах человек не надо страшно пусть будет
ela nungarwatyn nodam	куда я их дену
e ekuninda-kem eso ngeliwsipchu bire	э никого же страшного нет
nungan gunen	он говорит
hele ewiwunewer odam	вот игрушку сделаю
minngi amim bison gerbin dada ewedy gerbin dada	моего отца звали дада  эвенкийское имя дада
hajale tala nginakir goshajadu	нет там собак у гоши
bry bryzgewettere	брызгают они
a nginakin tar solilcha hargitki gunne	а собака стала сплетничать говоря черту
guso tar hutelwon	сказал он детям
bi nan tuksasinem karabindulai	я опять побежал к карабину
ilan tyrganil ngenechalatyn emeren	когда прошло три дня пришла
a to huwer rybakil bichol ere amingahaste	а то вы были рыбаки этот отец твой покойный
dapkidui hurusow dapkun annganidu	на восьмом пошел в восемь лет
potom potaptuk nungarnuntyn emehilderew	потом из потапова с ними стали ехать 
bumulifkil oror hingnene	умирающие олени жалко очень
gune	они сказали
dunnela burum	я упала на землю
dur hutesi etyrkosi hawaldaran tadu	с двумя детьми замужняя работает она там
hokse ngenederen	кровь идет
menmaktel irgektel ororwo-ke kikchafkil	комары пауты оленей-то кусают
murukedawki amutwa murukedawki	кружил кружил вокруг озера
a bi hele amaski muchuwohindem hele uldengilwan uldelwo	а я вот назад отвожу мясо принадлежащее ему мясо
nu chto jesche potom dolboltono depdotyn ongnam chtob dolbo debdedotyn һutelduji	ну что еще потом вечером поесть делаю чтобы ночью поели детям
ih nikak echew albaraw dawadami	так их никак не не смогли мы поймать
mom elo hele emesow	сам сюда вот приехал
nu ulguchondem	ну расскажу
taduk ele tar ekonem nawkane amakan lukilwen hele perem olcha ajamamale	потом вот не попав дедушка стал делать настоящие стрелы очень хорошие
eduk etem hindi girkitare	другом тебя больше не буду считать
etejetchengkin amingehe	покойный отец сторожил
kenggilortyn kenggilorin doldym	их колокольчики его колокольчики услышала
emere-de udalin	приехали по следу
potom delkendui ejewel gadai tuktyso biso	потом на лабаз что-то взять залез
togda warak gundene	тогда враг говорит
hutelwi dewdotyn tar dugudewki biso tar kinggit	тот кингит приносил детям поесть
a oror tozhe ngelelchel bipkil	олени тоже испуганные были
tolgokiduktepi jum ami noguju uitchenman poka	я вышла из своих санок пока отец привязывал передового оленя
pustyre nunganman	отпустили его
ilda	встали
mesto aja tozhe	место хорошее тоже
indisotin dukte	жили они вдвоем
amakatkanme hujukukonme dawudechatyn	они поймали маленького медвежонка
ere ganalchil emesoldo	вот стрелки пришли
edyn hukugicho nungarigityn	ветер стал отворачиваться от них
ekur ilkendekisiltyn	чьи это зарубки
ahal nadan tolgokityn bifkil bejelngil danduk dure danduk ilan binel	у женщин семь саней грузовых было у мужчин двенадцать тринадцать было
eja-wel ekungan binoro gundene nikoso	кто откуда могут быть вот он говорит
choknastew changittula	пошли убивать к медведю
ertyki amutkan hegdynge ichebdepki	туда озеро большое виднеется
huliwun odan	все стало
tar beje jangu jangurakin togotyn hingkewki biso   hingkeridewki	когда тот человек говорит у них трещит огонь
tunnga metrit taringityn burucho bicho	в пяти метрах он упал
taduk haman tegeren	потом шаман сел
sura bichon	шура была
horosho  	хорошо  
ilkendulityn hurukel	иди по их зарубкам
beje beje girkin odangas	будешь другом человека
ojin hariktalcha	над ним начал парить
mola mola 	дров дров 
toli edu bison sowhoz	тогда здесь был совхоз
hatanawa er guso elewel bingnedere gundene	черта этого говорит какие-то бывают
bi kungakan toli aminmi luhu beledengkif	я ребенок тогда отцу своему всегда помогал
dadaw jokellen	дядя закричал
eninngeheji bi ajat donchadam	мать свою покойную я хорошо помню
tak arkichatyn ehawew tar	так они проткнули тот мой глаз
eterew eregerit eduk isewulde	с этих пор никогда не станем показываться на глаза 
hutelin oda	у него появились дети
bi chok   chokchaw bah nunganman	я прицелился бах его
tarin hekergeso-do amargildii ilkonem ere ikonmon tugilwer ustawan kahiliwki	тот рассердился и встав на задние лапы вот так всю грудь ему порвал
dukchaduwer tegetchenel tar depdenel gusol	когда они сидели у себя в чуме и ели они сказали
dengilbi biwuk bingkityn mundu ugot	деньги у нас всегда были
uholchon	заболел
aminin hirogir dmitrij aminin udygir walentina trofimowna	отец ее хирогир дмитрий мать удыгир валентина трофимовна
e tadu norәw nunganman	там мы похоронили его
turudu uchitchaw	в туре учился
internattu tolko depingkiwun jesli chto uzh	в интернате мы только ели если что уж
diktele ekurwa ahaktadangkif ulgukilwe ulgukilwe	за ягодой за этим гоняла бурундуков бурундуков
isetcha-da gunderen	увидев говорит
on oda	что с ними стало
taritper ngolesilden	вот этого она станет бояться
postojanno gramotalwa bungkityn nungandun	постоянно ему грамоты давали
emonmuchotyn guleldu	они остались в поселке
bejel ele   ele̅tyn adelilwer tulepkil dukeli uzhe dukeli i ohotatsa	мужики все свои сети ставят по льду уже по льду и охотятся
tara bi doningnem	это я вспоминаю
hululan ho kungakan	маленький очень ребенок
tug nikochon bimche	так делала бы она если бы была
ngenedeso	шел
tare tarilba ugadana hururen erdelon tar dulduktyn	совсем ушел от их чумов неся эти 
bi inekteldem	я смеюсь
ungunduk angil dalin angiduk gulelduk emere-de iseno angila	родственники из этого из поселка приехали и поехали посмотреть
brigadir okel	будь бригадиром
i tegemile bidechow	и до следующего дня был
tuliski juwki-da tar beje	этот человек выходит на улицу
dewuldektyn dewudeliwki ostolduktyn	когда они начинают есть он начинает есть с их стола
umukin emenmum bi umukin	я один остался один
minngi omolgilwi e dalwi towlohine gospodi	мои сыновья ой мои родственники поехали по ягоду господи
angirawun obradowalis w obschem chto obradowalis chto oror mutki emechel dulawer obratno	обрадовались это что олени наши пришли домой обратно
bejekokun iso dula tar dula	начальник зашел в чум в тот чум
e ngelelle	о испугались
gewran toktohinen ongoktolin kotot	он повторил ударил по носу пальмой
nu dygilrewe hawalingnem nu duleshki dygilrewe amashki	ну четыре дня хожу ну вперед четыре дня назад
tug-do node dulai ihim	так-то хорошо доехала домой
epki eto kahirgare nu i ladno etyrgare to jest	не ломается то есть не рвется
wiboril bulleterwe ngenewungkiwun	на выборы мы бюллетени привозили
i okin eninmi mirechen okin pankagiril mirechetyn hukacharildu hukacharil guningkityn	и когда моя мать вышла замуж когда женились панкагиры на хукочарах то хукочары говорили
bi durwe tadu horokilwe wame	я двух там глухарей убил
urkeje edelikonmi angare burupki	не успев открыть дверь упал
uldekokurwe dewdere	мясо едят
i taduk-de gunipki	и потом-то говорит
ngolepkosilde	стали пугать
ilmakta hawalilchaw	молодая начала работать
taringilnum bidedengos	ты будешь с этими моими 
ami aminun hururew ohotnikildula aha	отец с отцом мы пошли к охотникам ага
ilmaktadui dadanunmi ohotylsadichaw	в молодости я охотился со своим дядей
chatyrelwe chipkarwe elewatyn bultangkin nungan	песцов соболей всё добывал он
edu jerbekedu wse wrema edu bidechew	все время здесь жила
do sih por do starosti bichon ehan ne widel	до сих пор до старости был глаз у него не видел
abachi uluren typarawa i typallan ongoktowi hokse edon ojone	медведь откопал грязь и стал мазать свой нос чтобы не текла кровь
bi albahichaw ildami	я не мог встать 
aminduf kete oron bison	у моего отца было много оленей
edu motimidichow bejure	здесь охотился на диких оленей
wspomnila	вспомнила
tug-do ese nawkane	так и не попал
taduk nungan gunen	потом он сказал
sadiktu hawalchaw tozhe	я работала в детском саду тоже
tadu indere ajamamat gunne gunne hehenen	сказал там живут очень хорошо рассказал
taduk tuksahinen amana	потом побежал быстрее
bi nanchisilchaw hine	я стала тебя нянчить
nu bu sururew tala	ну мы поехали туда
kete bichetyn omolgil kete hunatyl bichetyn asatkar	много было сыновей много дочерей было девушек
erupchut inchowun amaski hot	плохо жили раньше
amim tolgokiwa oran hurupdoi eninmef dundengdulon i edu nodoi	отец санки сделал чтобы увезти мать на ее землю и здесь похоронить
biraldu hindatchaw delilwe nirusarwe majgulwe	на реке рыбачу тайменя хариусов линков
mu odan tadu	там появилась вода
tar-da huruwupkil danduk duldo kilo digin namate ki kilometr helekemet	везли двенадцать дней четыреста километров с лишним
nu amaskite jesche ororrikteldi zhe girkungkitynte	ну раньше же еще на оленях только же ездили-то
magazindu sdajchawun ollolwo ullelwe chipkarwe	сдали в магазин мясо рыбу соболей
angil bejel angiltyn igiltyn doldywra	это голоса людей слышны
gil ewen   iduk iduk eni bichen nungartyn bichetyn bolshoj porogtuk amintyn nungartyn pankagirskajduk rodtuk bichetyn	откуда откуда мать была они были с большого порога отец их они из рода панкагиров были
nu taduk nungan angideren  	ну потом он это  
nungartyn akchulla daldulawer	они стали рваться к своим товарищам
dynngilecho gde-to derelotyn tadu	он бежал там им навстречу 
bi bi uchakki dawamalcham taduk	я своего учака быстро поймала потом
dezhuritde   dezhuridepkil kungakar dolboniwe	дежурят дети всю ночь
prishlos ngenedemit	пришлось пешком идти
hukitei garan-da buren edytkii	живот свой взяла и дала мужу
eton-nun erupchut ora	он не будет делать плохо
homotywa umukon raz wame	медведя один раз убил
internattu tak-to bidengkiw	я так-то в интернате жила
nungan zhe girkuren	он же ходил
emedengnewun	мы приходим  
omonim tegemile	оставил до следующего дня
wot tundra prawdu	вот тундра правду
potom wertoletyt degrewun	потом мы вертолетом прилетели
bu u   utele ewenkilwe   utele ewenkil ahijawar gengkityn hungtulduk dunnelduk hungtulduk dunnelduk	мы раньше эвенки жену брали из других земель из других земель
a ungundu tawar walektu ehi er walek biden tadu angipkil bichol ororwer dawuchapkil bichol	а там этот самый в вальке сейчас этот валек будет там это самое делали оленей держали
jescho dagamawat	давай еще приблизимся
hama hamahaldu	хама хамахалду
ichetcheren	видит
ohotnikil aha ekundi emerkel ne pomnu	охотники ага на чем приехали наверное не помню
bure nungandun tandan	дали ему закурить 
tut na dymokur olenam taskajem	тут на дымокур оленям таскаем
guleldu tam oki tri ilaldawa bichowun	в поселке там сколько три три дня мы были
edu pohoronen hukuloderen	здесь похоронен лежит
ranshe won towlidei ajawungkiw pramo	раньше вон я прямо любила собирать ягоду
namadiwe toli wachal	сотни тогда убили
tar gurustu girkudaril	те кто с грузом ходили
emerew	приехали
tuksadedawer dildan    dildandadawer	лишь бы побегать повоображать
horokila pektirondengos helakila emi gune helakila	глухарей стрельнешь куропаток – не говоря уж о куропатках
dada gunen	дядя сказал
i wse rawno on-mer kedene popallen nungardutyn	и все равно как-то попался к ним
idi chaski okel diski diski amngaduk diski okel	в стороне будь подальше подальше от входа подальше будь
obyknowennaja nu	обыкновенная ну 
horoshaja babka bichon	хорошая бабка была
a si ekun bihinde	а ты кто
nungan tegetchechen edynunmi	она сидела с мужем
kungakar hajale duduwer	детей нет в чуме
dur hutei edudo baldyldygasan	двоих детей она здесь с ним родила
tegetcheren	сидит
jesli kungakan kutusi kungakan kutusi bihikin ororin baldylifkil	если ребенок счасливый если ребенок счастливый олени его растут
tozhe nimngakanli ekunli	тоже сказка ли или что ли
baldycha bihim	родилась
burikeldu mine guso	уроните меня сказал
wospitywat-to one	воспитывать-то как
nu i huktydere	ну и бегут
produktow malo gachawun produktelwe	продуктов мало взяли
aminduf haman guso	отцу шаман сказал
tar umukon angani nungandun bisow-do elo otpuskalai emem	в один год я у него был сюда в отпуск приехал
aminmi gerbin bison udygir innokentij nikolajewich	моего отца звали удыгир иннокентий николаевич
toli-mok tododongotyn hergudu dundedu biso biso gunne	только тогда поверят был на нижней земле говорит
ekspeditsijal tar ora-da	экспедиции это самое сделали
muttuk heleket indere tar hergudu dundedu	они на этой нижней земле живут лучше нас
nu gorowo eson hawalda tar kazah kazahstanilduk emeso	ну долго не работал тот казах из казахстана приехавший
engkin tane engkin umda	не курила не пила
potomu chto ilmaktal bichotyn sami nginakir	потому что были самые молодые собаки
i mine gune	и мне сказали
heweki-te gunen	бог-то сказал
tewlahidechawun eto dur annganil	мы ходили по ягоду два года 
ekunnun	с кем
dygindan kilometr	сорок километров
nu tug gunderen	ну так говорит
dulindutyn dukchal ischende-do isettoi tar hegdymomowetyn duwa-do	ты дойдешь до середины чумов чтобы увидеть этот огромный чум
dynngilehinchicho	он побежал
bi gundem ngale	я говорю рука
i ilo-do ngenedengos orondi	хоть куда доедешь оленем
nungartyn guningkityn chipicha kinggit	они говорили птица кингит
heki erdelon tar ilitcheren pehisiwso	эта большая лиственница до сих пор стоит расколотая
tuge tuge tala molwe nokellu tala	так так туда палки положите туда
derumkisadem	отдыхаю
a akim erupchut indeson tadu	а мой старший брат плохо жил там
ewkil-de isere-hinche nunganman ejdere	кажется не видят его и не замечают
horoliktedecha bicho	крутился
ngelewsiko hegdymama hegdymama bichon	очень страшный большой-большой был
tozhe motimidichow huksinun mart dulindun	тоже охотился на лыжах в середине марта
bi tancheldem nungarwatyn	я их вытяну
irgisil udalwatin dantakil udalwatin isedengos	волков следы росомах следы увидишь
jangildu biwki biso tar iheldu	на горах бывал был на камнях
potom potom uzhe tylim tylim kak tolko gune ratsijali hannguktam	потом потом уже я понял понял как только сказали по рации я спросил
dan klasspe manachaw	десять классов закончила
nulgischewun nulgischewun ulumischewun itygachawun dui   duduk duduwer itygalchawun nulgischewun	аргишили  аргишили охотились собирались из чума в чуме начинали собираться аргишили
ahal-da e-ne hawaldafkil	женщины тоже это работали
tar beje jangudariwan gundere tar togo hin    togot hingkerideren	про то как разговаривает этот человек они говорит наш огонь трещит
i uldengilwan dowuldedem	и мясо принадлежащее ему стану перевозить
sindu okin anganis bichen	тебе сколько лет было
oron ewenkidu elede hegdi belego	олень для эвенка все-таки большой помощник
taduk hurusolon tare umukon emeson	потом когда он ушел  тот один пришел
ilan anganisil binel kungakar asir ongkitin ulguchonmochilchol bi   binel	будучи трехлетними начав разговаривать дети умирали
aga nu bolo-te nginakirdi	ага ну осенью-то с собаками
bi gunilim amatki bunidere ngelewsy gunilim	я стала говорить деду воют страшно стала говорить
kinggit hutelin-to tar jonmasilchal	дети-то кингита очень испугались
aha urkewatyn angamda perchatkelwe ichem tug harbaldedere	ага их дверь я открыла и перчатки увидела вот так растопыриваются
targit emechol bichotyn tozhe	оттуда тоже они приехали
okir bi tepkelim-de taduk taril himurgara 	когда я крикнула все затихло 
tugdo bi duloski huktywuhinem	так-то я вперед поскакала
pramo dumala bejeje etem bakara	прямо думала мужчину не найду
angidu dolboltono istan	это вечером доехал
i nungan tegeren	и он сел
potom taduk bi wertoletyt әla әmәhinәm	потом я на вертолете сюда прилетела
i to jesche angi utunilipki dola nawernoje utunilirgun	и то еще это самое чешется наверное внутри чешется
echol bihiwun hare	мы не знали
nurmachal	подкрались
aminngahaw angilcha logilcho gunne	отец покойный это начал ругаться стал сказав
a etyrkom gunden	а мой муж говорит
bi dedushka   oj amakanun aminun-he bi nulgisinim	я с дедушкой с отцом аргишила
haman hamanildan	шаман начал шаманить
tar emcha	это бы сделали
archemkachalde mune һaja̅le amandichal	встречали нас но не было опоздали
achin achin	нет нет 
taduk umukondu diski huruchowun tartiki alik stadola	оттуда вместе в лес поехали туда в стадо алика
ewkil nunganman isere taringilin ewkil ejdere-de	его не видят и не замечают
tala buran emekteche holkit	там буран приезжал недавно
orolo   oromilowun tadu tyremtycho bicho	наших оленей он давил там
i tolinge budan uchamidu	и тотчас умер в учами
na̅demachawun orokorwe gde-to dapkutalwa-hinche	получили в подарок оленей где-то по восемь голов
debngenelwer debdere tare ngonimil	свои объедки едят эти длинные
i dolboltono tegetcheren	и вечером сидит
nungarngityn udaltyn achir	следов их нет
da da	да да
nungartyn muchuchal dukchalawer emechel ororwun ororin tare nunganngilin	они вернулись к чумовищу пришли наши олени олени эти его
tozhe uchakki pustym bi menngiwi	я тоже отпустила своего учака
taduk angilbi ororbi ilda	потом мои эти олени встали
heweki hele angilba odawki	бог-то этих самых делает
hele bi ere mot ange bejngo ireksewon olgikta	вот я это палкой высушу шкуру дикого оленя
dawaj dundewe hogintugat	давай землю пинать
daldui hehendengow	друзьям расскажу
goro bicho tadu stadotyn namadi da̅n kilometr potaptuk	далеко было там их стадо сто десять километров от потапова
tolko shkolalduk huruche	только из школы ушел
aminduwer enel hilbara	не говорите своему отцу
kassirdu hawalchaf dan annganiwe	кассиром проработала десять лет
ke gunem jakut golomowon bakam	вот сказал я я нашел зимний чум якута
dur mowa mokarbe oran duktewurei	сделал две палки две палочки-колотушки
keshaw baldyren	кеша мой родился
digali	на дигали
ewkil-da mine isehine	не смотрят на меня
edukwehin etende ekunmada bakara ilada hurure	отсюда ничего не найдешь никуда не уйдешь
a toli bidichetyn chulugdyl	а тогда были чулугды 
amtylwi emere gunmi tar aminmi umne hehenchan minduju on elo emere er dundylo agataduk	родители мои приехали так сказать отец мой однажды рассказал мне как сюда приехали на эту землю из агаты
chagit togda dawakal ngaleldiwi	подальше тогда схватись руками
wot ehikotkon tetetki ngenedechawun	вот сейчас мы ездили в тетею
nu peregondeit emechow emechowun	ну перегонными я приехала мы приехали
gorowo ilitchan	долго он стоял
deptileletyn emepdere	продукты привозят
nungartynkun nurmachal ajamamat ichetchechol	они-то подкрались хорошенько смотрели
bultadengos dewdoji bejngoje bejune	добудешь поесть дикого оленя дикого оленя
potaptula tarilduk girkudengnerewun	в потапово от них ездили
tarawe hele tar guso nginakinma	потом вот он сказал собаке
bi eli baldisaw	я здесь родился
hawaldapkin oldachan-ke	стал-то работать
ehi bedni nungarduktyn eleduktyn inderen ungun ele gala a samaja mladshaja	сейчас бедные из них из всех живет эта вот галя а самая младшая
hele duktemkoren-do hutelin jonmasilchal	вот он стал колотить и дети очень испугались
gugaretchere	звенят гугарой 
wot edu-te indeme durdar anganiwa jekengdedu	вот здесь живу двадцать лет в эконде
ewanda echew ichette	ничего у нее не посмотрел
eche horosho eche huktylle mune ahahine	хорошо не побежал за нами вдогонку
taduk elo emengnerew	потом сюда приходим
wot tarbawa anganiwe inchen minngi ebekef	вот столько лет жила моя бабушка
on-ke nikeldere	что же они будут делать
togoriktatyn tar hingkerideren bi bideriwe edu	только огонь у них трещит хотя я здесь
taduk amim emeren	потом отец приехал
jullen	начал выходить
ororwun manawra	наши олени закончились
kungakan amakan-te etyrkon inde   ilani enityn	ребенок и дедушка-старик и мать трое
muje gelektenehinen	пошел за водой
nu gunderen widno ilane tyrganil hiranipkil ange makitkar odatyn	ну говорит видно три дня спариваются чтобы были медвежата
nungan ekun bison turuhanskadu	она это была в туруханске
ngalelwe hongnasal	руки отрезали
suglan oran-da gune elo ele- ele- elet emegot umundu bid bida bidep bigot	суглан сделал говоря сюда все давайте придем все вместе здесь будем давайте будем
opat hururen	опять пошел
bi ehikon ulguchondim eningeheji udygir natalja jakowlewnawa	я сейчас расскажу о своей покойной матери удыгир наталье яковлевне
er amakan guso	дедушка сказал
dulatyn ikonemil gusol	когда пришли в их чум они сказали
hongnanekekor lokotchol tuge	отрезав же повесили так
bi bultadam biraldu digali chikty dami	я охочусь на реках дигали чикты дями
edafkil hawaldafkil	что-то делали работали
hine mozhet beledem	может помогу тебе
potom nungunme hutew baldym	потом шестерых детей родила
ujusektefkil	ездят верхом
iledyt	по-эвенкийски
satyralba isel-do bagdamalba lokotchol tadu	белых песцов выделали и развесили
bururen jolki	упал ёлки
a akim biwuk erupchut inderen	а брат всё еще плохо живет
potom	потом  
aja ahi bison	хорошая женщина была
